Iteration	Best Cost	Tabu Violations	Aspiration Uses
311	2	0	0
312	2	0	0
313	2	0	0
314	2	0	0
315	2	0	0
316	2	0	0
317	2	0	0
318	2	0	0
319	2	1	0
320	2	1	0
321	2	1	0
322	2	1	0
323	2	1	0
324	2	1	0
325	2	1	0
326	2	1	0
327	2	0	0
328	2	0	0
329	2	1	0
330	2	1	0
331	2	1	0
332	2	1	0
333	2	1	0
334	2	1	0
335	2	1	0
336	2	1	0
337	2	1	0
338	2	1	0
339	2	1	0
340	2	1	0
341	2	0	0
342	2	0	0
343	2	0	0
344	2	1	0
345	2	1	0
346	2	1	0
347	2	1	0
348	2	1	0
349	2	1	0
350	2	1	0
351	2	1	0
352	2	1	0
353	2	1	0
354	2	1	0
355	2	1	0
356	2	1	0
357	2	1	0
358	2	1	0
359	2	1	0
360	2	0	0
361	2	0	0
362	2	0	0
363	2	0	0
364	2	0	0
365	2	1	0
366	2	1	0
367	2	1	0
368	2	1	0
369	2	1	0
370	2	1	0
371	2	1	0
372	2	1	0
373	2	1	0
374	2	1	0
375	2	1	0
376	2	1	0
377	2	1	0
378	2	1	0
379	2	1	0
380	2	1	0
381	2	0	0
382	2	0	0
383	2	0	0
384	2	0	0
385	2	0	0
386	2	0	0
387	2	0	0
388	2	0	0
389	2	0	0
390	2	1	0
391	2	1	0
392	2	1	0
393	2	1	0
394	2	1	0
395	2	1	0
396	2	1	0
397	2	1	0
398	2	0	0
399	2	0	0
400	2	1	0
401	2	1	0
402	2	1	0
403	2	1	0
404	2	1	0
405	2	1	0
406	2	1	0
407	2	1	0
408	2	1	0
409	2	1	0
410	2	1	0
411	2	1	0
412	2	0	0
413	2	0	0
414	2	0	0
415	2	1	0
416	2	1	0
417	2	1	0
418	2	1	0
419	2	1	0
420	2	1	0
421	2	1	0
422	2	1	0
423	2	1	0
424	2	1	0
425	2	1	0
426	2	1	0
427	2	1	0
428	2	1	0
429	2	1	0
430	2	1	0
431	2	0	0
432	2	0	0
433	2	0	0
434	2	0	0
435	2	0	0
436	2	1	0
437	2	1	0
438	2	1	0
439	2	1	0
440	2	1	0
441	2	1	0
442	2	1	0
443	2	1	0
444	2	1	0
445	2	1	0
446	2	1	0
447	2	1	0
448	2	1	0
449	2	1	0
450	2	1	0
451	2	1	0
452	2	0	0
453	2	0	0
454	2	0	0
455	2	0	0
456	2	0	0
457	2	0	0
458	2	0	0
459	2	0	0
460	2	0	0
461	2	1	0
462	2	1	0
463	2	1	0
464	2	1	0
465	2	1	0
466	2	1	0
467	2	1	0
468	2	1	0
469	2	0	0
470	2	0	0
471	2	1	0
472	2	1	0
473	2	1	0
474	2	1	0
475	2	1	0
476	2	1	0
477	2	1	0
478	2	1	0
479	2	1	0
480	2	1	0
481	2	1	0
482	2	1	0
483	2	0	0
484	2	0	0
485	2	0	0
486	2	1	0
487	2	1	0
488	2	1	0
489	2	1	0
490	2	1	0
491	2	1	0
492	2	1	0
493	2	1	0
494	2	1	0
495	2	1	0
496	2	1	0
497	2	1	0
498	2	1	0
499	2	1	0
500	2	1	0
